Date,From Account,From Sender,To Account,To Recipient,Amount in Euro
2023-06-22,A004,Alice Johnson,A001,ABC Inc,9769.67
2023-03-20,A004,Alice Johnson,A001,Global Traders,6319.36
2023-06-01,A001,Charlie Davis,A003,123 Services,7360.0
2023-05-06,A002,John Doe,A002,Tech Solutions,6939.1
2023-12-12,A003,Jane Smith,A003,ABC Inc,1884.66
2023-03-24,A003,Alice Johnson,A002,Tech Solutions,9781.83
2023-05-29,A002,John Doe,A004,ABC Inc,5669.47
2023-03-23,A005,Charlie Davis,A002,Global Traders,8065.08
2023-06-15,A002,Charlie Davis,A004,ABC Inc,9958.5
2023-03-19,A002,Alice Johnson,A001,Tech Solutions,5665.48
2023-11-01,A002,Charlie Davis,A002,Tech Solutions,1677.1
2023-01-31,A002,Alice Johnson,A004,Global Traders,6526.2
2023-09-20,A001,John Doe,A002,XYZ Corp,1282.26
2023-12-19,A002,Alice Johnson,A002,ABC Inc,1252.18
2023-04-21,A005,Alice Johnson,A005,ABC Inc,1516.53
2023-09-06,A003,Alice Johnson,A001,XYZ Corp,4520.63
2023-05-04,A004,John Doe,A004,123 Services,178.17
2023-01-22,A004,John Doe,A002,XYZ Corp,1414.54
2023-03-10,A001,John Doe,A004,XYZ Corp,1162.15
2023-03-26,A005,Jane Smith,A002,Global Traders,2246.37
2023-05-11,A004,John Doe,A001,XYZ Corp,4407.18
2023-01-03,A001,Jane Smith,A005,123 Services,9875.06
2023-09-07,A003,Alice Johnson,A004,Global Traders,3342.24
2023-12-22,A001,Jane Smith,A005,ABC Inc,2601.18
2023-12-10,A004,Jane Smith,A004,ABC Inc,6947.43
2023-07-07,A004,Charlie Davis,A005,XYZ Corp,4889.29
2023-10-23,A001,Charlie Davis,A003,Global Traders,2865.53
2023-02-13,A004,Bob Brown,A005,Global Traders,5161.86
2023-06-01,A005,Bob Brown,A004,Tech Solutions,4920.3
2023-11-27,A003,John Doe,A002,XYZ Corp,852.94
2023-06-17,A005,John Doe,A005,123 Services,7801.41
2023-07-17,A002,John Doe,A002,XYZ Corp,4060.9
2023-09-14,A002,Alice Johnson,A002,123 Services,8282.24
2023-05-18,A001,Charlie Davis,A005,Tech Solutions,3194.07
2023-01-14,A004,Jane Smith,A004,123 Services,6498.27
2023-01-17,A001,Jane Smith,A005,Global Traders,2627.11
2023-02-04,A005,Charlie Davis,A005,123 Services,2636.59
2023-05-02,A004,Jane Smith,A003,123 Services,9784.8
2023-06-16,A002,Jane Smith,A002,ABC Inc,6255.96
2023-07-06,A002,Alice Johnson,A003,Tech Solutions,5702.59
2023-04-23,A001,Jane Smith,A002,ABC Inc,487.59
2023-10-18,A005,John Doe,A003,ABC Inc,6974.25
2023-08-01,A005,Charlie Davis,A005,Global Traders,2837.2
2023-02-19,A003,Alice Johnson,A005,XYZ Corp,4296.44
2023-06-23,A002,Alice Johnson,A005,Tech Solutions,8462.97
2023-03-10,A002,Jane Smith,A005,XYZ Corp,9655.47
2023-09-08,A004,Jane Smith,A002,Global Traders,1043.83
2023-08-21,A003,Bob Brown,A001,Global Traders,8619.58
2023-04-19,A002,Alice Johnson,A002,ABC Inc,742.64
2023-05-22,A005,Alice Johnson,A003,Tech Solutions,3850.94
2023-10-15,A001,Jane Smith,A001,ABC Inc,2400.39
2023-01-18,A001,Alice Johnson,A001,123 Services,7451.67
2023-02-11,A001,Alice Johnson,A001,XYZ Corp,4601.25
2023-09-18,A005,Charlie Davis,A004,123 Services,9059.99
2023-03-08,A003,Bob Brown,A002,Tech Solutions,7248.09
2023-03-29,A001,Bob Brown,A002,Global Traders,3056.73
2023-06-30,A001,Charlie Davis,A004,XYZ Corp,2811.58
2023-05-02,A002,John Doe,A003,XYZ Corp,7756.15
2023-01-21,A005,John Doe,A005,XYZ Corp,7484.23
2023-11-11,A004,Jane Smith,A004,ABC Inc,2489.63
