Date,From Account,From Sender,To Account,To Recipient,Amount in Euro
2023-05-31,A005,Alice Johnson,A003,123 Services,5589.12
2023-10-06,A004,Alice Johnson,A002,XYZ Corp,9365.21
2023-03-25,A005,Alice Johnson,A003,Tech Solutions,9923.44
2023-09-20,A005,Charlie Davis,A005,123 Services,1218.34
2023-07-21,A003,Charlie Davis,A003,Tech Solutions,639.71
2023-03-27,A005,Jane Smith,A002,Tech Solutions,6960.82
2023-08-28,A004,Bob Brown,A004,123 Services,7872.08
2023-03-07,A005,Alice Johnson,A001,ABC Inc,8373.15
2023-07-18,A004,Charlie Davis,A002,Tech Solutions,5927.25
2023-04-13,A002,Charlie Davis,A004,XYZ Corp,1269.23
2023-10-27,A002,Alice Johnson,A005,Tech Solutions,7282.88
2023-06-20,A004,Bob Brown,A003,XYZ Corp,4785.73
2023-09-19,A003,Bob Brown,A003,ABC Inc,7705.8
2023-01-28,A005,Jane Smith,A001,123 Services,570.38
2023-05-28,A004,Charlie Davis,A004,123 Services,4147.6
2023-01-29,A005,John Doe,A001,Global Traders,5180.24
2023-01-07,A005,Bob Brown,A005,Tech Solutions,2481.49
2023-12-01,A002,Alice Johnson,A002,Tech Solutions,7003.63
2023-01-31,A001,Charlie Davis,A002,Tech Solutions,2282.3
2023-10-30,A004,Alice Johnson,A005,Global Traders,5166.28
2023-07-27,A001,John Doe,A002,Global Traders,7120.12
2023-03-24,A004,Charlie Davis,A003,123 Services,7572.4
2023-10-18,A001,Alice Johnson,A005,XYZ Corp,5754.96
2023-11-14,A002,Alice Johnson,A001,Tech Solutions,5307.59
2023-05-30,A005,Charlie Davis,A003,Global Traders,4931.88
2023-06-25,A003,Jane Smith,A001,ABC Inc,6969.61
2023-12-21,A005,Alice Johnson,A004,123 Services,9198.06
2023-02-17,A003,Bob Brown,A005,Global Traders,5444.75
2023-02-19,A003,Charlie Davis,A001,Tech Solutions,2585.97
2023-10-01,A003,Bob Brown,A001,Global Traders,9886.02
2023-08-06,A003,Charlie Davis,A005,123 Services,8377.83
2023-10-29,A005,Charlie Davis,A002,123 Services,9402.57
2023-04-28,A002,Charlie Davis,A003,123 Services,4909.3
2023-07-04,A003,Charlie Davis,A003,ABC Inc,3848.98
2023-09-13,A004,Charlie Davis,A001,Global Traders,4557.93
2023-01-28,A002,Charlie Davis,A003,Tech Solutions,8526.48
2023-03-15,A004,Jane Smith,A004,123 Services,3811.99
2023-05-01,A003,John Doe,A005,Tech Solutions,1984.48
2023-06-05,A002,Bob Brown,A002,123 Services,204.53
2023-09-06,A003,Charlie Davis,A003,Global Traders,4662.23
2023-04-12,A004,Charlie Davis,A003,ABC Inc,190.74
2023-08-07,A005,Jane Smith,A005,ABC Inc,6052.73
2023-05-26,A003,Charlie Davis,A003,Tech Solutions,9982.09
2023-11-08,A005,Alice Johnson,A004,123 Services,4985.33
2023-12-02,A005,Alice Johnson,A002,123 Services,6988.53
2023-07-30,A002,Bob Brown,A002,Global Traders,2430.14
2023-04-04,A001,Bob Brown,A005,123 Services,6739.58
2023-10-16,A005,Charlie Davis,A005,123 Services,2712.41
2023-04-04,A001,John Doe,A002,XYZ Corp,727.65
2023-04-29,A004,Jane Smith,A002,ABC Inc,8757.76
2023-02-19,A002,Bob Brown,A003,Global Traders,3207.6
2023-03-20,A004,Alice Johnson,A004,ABC Inc,8113.59
2023-10-02,A002,Bob Brown,A002,Global Traders,4601.12
2023-06-17,A005,Jane Smith,A001,Tech Solutions,7757.47
2023-02-01,A005,Alice Johnson,A003,XYZ Corp,1479.4
2023-03-14,A003,Jane Smith,A002,Global Traders,627.27
2023-05-12,A004,John Doe,A003,XYZ Corp,4244.74
2023-12-12,A002,John Doe,A005,Tech Solutions,2843.4
2023-04-25,A002,John Doe,A001,123 Services,5082.53
2023-05-29,A001,John Doe,A003,XYZ Corp,2343.39
2023-06-27,A005,Alice Johnson,A002,Global Traders,6566.14
2023-08-27,A001,John Doe,A004,Global Traders,5579.62
2023-04-23,A004,John Doe,A005,123 Services,3886.3
2023-09-19,A005,Charlie Davis,A003,XYZ Corp,2611.71
2023-04-12,A004,Charlie Davis,A001,123 Services,5575.11
2023-06-03,A002,Alice Johnson,A003,123 Services,1813.7
2023-12-10,A004,Jane Smith,A003,Global Traders,2657.94
2023-04-25,A004,Bob Brown,A003,Global Traders,156.75
2023-05-08,A003,Jane Smith,A003,ABC Inc,9586.59
2023-04-09,A004,Jane Smith,A004,123 Services,1694.9
2023-11-12,A005,Alice Johnson,A002,ABC Inc,9917.08
2023-08-27,A004,Charlie Davis,A004,123 Services,1121.25
2023-07-10,A002,Jane Smith,A002,Tech Solutions,9317.79
2023-03-19,A001,Jane Smith,A001,ABC Inc,3790.13
2023-10-28,A003,Alice Johnson,A004,Tech Solutions,4131.52
2023-05-01,A002,Bob Brown,A005,ABC Inc,1310.85
2023-09-16,A003,Charlie Davis,A003,XYZ Corp,6795.16
2023-08-02,A004,Bob Brown,A004,Global Traders,6025.66
2023-10-27,A002,Charlie Davis,A003,123 Services,7897.98
2023-10-20,A001,Charlie Davis,A002,XYZ Corp,8990.64
2023-01-06,A004,Jane Smith,A002,Tech Solutions,5742.7
2023-12-04,A003,Bob Brown,A001,Global Traders,3619.24
2023-02-13,A001,Jane Smith,A003,ABC Inc,2467.75
2023-04-11,A004,Charlie Davis,A004,Tech Solutions,6404.47
2023-09-11,A004,John Doe,A003,XYZ Corp,3828.22
2023-05-17,A003,Charlie Davis,A004,ABC Inc,4785.66
2023-08-25,A001,Alice Johnson,A001,ABC Inc,6418.04
2023-08-27,A005,Bob Brown,A003,Global Traders,6383.65
2023-10-19,A002,John Doe,A002,Global Traders,7764.97
2023-05-26,A004,Charlie Davis,A002,ABC Inc,764.69
2023-04-02,A004,Charlie Davis,A001,123 Services,2934.53
2023-01-26,A003,Alice Johnson,A003,Global Traders,776.99
2023-07-14,A003,John Doe,A004,123 Services,3407.28
2023-02-09,A003,Bob Brown,A003,Global Traders,7622.06
2023-12-18,A002,Alice Johnson,A002,XYZ Corp,2578.53
2023-01-22,A005,John Doe,A005,XYZ Corp,2641.14
2023-11-12,A002,Jane Smith,A001,ABC Inc,807.37
2023-08-19,A004,Charlie Davis,A004,123 Services,6202.83
2023-03-11,A001,Bob Brown,A001,Global Traders,4404.49
2023-12-18,A005,Charlie Davis,A005,ABC Inc,5721.4
2023-01-08,A003,Alice Johnson,A001,Tech Solutions,3918.88
2023-10-03,A001,Bob Brown,A002,XYZ Corp,2098.91
2023-04-14,A004,Alice Johnson,A005,Tech Solutions,5752.36
2023-02-24,A001,Bob Brown,A001,Global Traders,3250.11
2023-02-01,A005,Jane Smith,A001,ABC Inc,1929.8
2023-11-15,A002,John Doe,A002,Global Traders,4935.81
2023-04-27,A005,Alice Johnson,A005,123 Services,7490.16
2023-10-12,A003,Bob Brown,A003,Global Traders,257.68
2023-03-04,A002,Bob Brown,A003,123 Services,6827.16
2023-09-25,A004,Jane Smith,A005,ABC Inc,1401.46
2023-12-18,A005,Bob Brown,A005,Global Traders,8144.37
2023-01-23,A004,Charlie Davis,A004,123 Services,8362.55
2023-11-03,A001,John Doe,A003,ABC Inc,6886.52
2023-05-20,A005,Charlie Davis,A005,XYZ Corp,924.13
2023-11-20,A005,Jane Smith,A005,123 Services,1388.87
2023-11-10,A002,John Doe,A002,XYZ Corp,659.56
2023-03-09,A003,Alice Johnson,A002,Tech Solutions,7847.83
2023-10-29,A002,John Doe,A003,XYZ Corp,5508.58
2023-04-09,A001,Bob Brown,A005,Global Traders,8205.5
2023-06-17,A003,Jane Smith,A001,123 Services,3124.37
2023-07-18,A002,John Doe,A002,Tech Solutions,7995.82
2023-05-29,A002,Alice Johnson,A001,Global Traders,7085.52
2023-03-23,A005,Alice Johnson,A005,Tech Solutions,3987.76
2023-11-11,A001,Jane Smith,A002,ABC Inc,7940.76
2023-12-02,A004,Alice Johnson,A001,Tech Solutions,9205.9
2023-06-23,A005,Charlie Davis,A004,123 Services,531.04
2023-10-05,A004,Jane Smith,A001,ABC Inc,1544.33
2023-11-15,A004,Alice Johnson,A004,Tech Solutions,8745.69
2023-01-20,A002,Jane Smith,A005,Global Traders,742.66
2023-12-12,A005,Charlie Davis,A005,ABC Inc,7268.46
2023-08-26,A001,John Doe,A004,Global Traders,5128.83
2023-11-08,A005,Jane Smith,A003,ABC Inc,4947.68
2023-09-13,A005,Alice Johnson,A003,Global Traders,6541.51
2023-07-16,A003,Bob Brown,A003,123 Services,3430.26
2023-08-25,A002,Bob Brown,A001,ABC Inc,435.21
2023-07-01,A005,Alice Johnson,A005,123 Services,8200.6
2023-07-19,A002,Jane Smith,A003,ABC Inc,5576.22
2023-10-15,A004,Alice Johnson,A005,Tech Solutions,3673.82
2023-06-05,A002,Bob Brown,A001,Global Traders,1142.05
2023-09-14,A001,Bob Brown,A005,Global Traders,972.67
2023-01-25,A001,Alice Johnson,A005,123 Services,8697.89
2023-06-26,A001,Bob Brown,A001,Global Traders,1983.58
2023-08-13,A005,John Doe,A003,XYZ Corp,6921.05
2023-05-17,A005,John Doe,A005,Tech Solutions,6404.22
2023-12-04,A001,Alice Johnson,A004,123 Services,4075.42
2023-03-01,A005,Alice Johnson,A004,ABC Inc,6053.61
2023-10-05,A001,Charlie Davis,A001,Global Traders,7799.39
2023-04-05,A003,Alice Johnson,A004,Tech Solutions,400.59
2023-03-21,A004,John Doe,A005,ABC Inc,9258.17
2023-09-07,A001,John Doe,A001,123 Services,3423.63
2023-01-06,A001,Charlie Davis,A003,123 Services,8288.77
2023-03-19,A005,Bob Brown,A003,XYZ Corp,2463.81
2023-07-30,A001,Jane Smith,A001,ABC Inc,3570.11
2023-12-09,A002,Jane Smith,A005,123 Services,1981.57
2023-11-17,A002,Charlie Davis,A005,123 Services,1194.18
2023-10-28,A001,Jane Smith,A002,XYZ Corp,7586.83
2023-06-19,A005,Bob Brown,A001,Global Traders,8028.44
2023-11-12,A002,John Doe,A001,XYZ Corp,6742.22
2023-10-15,A001,John Doe,A005,ABC Inc,8984.18
2023-01-16,A001,Jane Smith,A001,ABC Inc,956.33
2023-07-08,A002,John Doe,A003,XYZ Corp,2764.2
2023-01-30,A003,John Doe,A001,Global Traders,1469.76
2023-04-29,A001,Charlie Davis,A004,XYZ Corp,9066.05
2023-05-01,A004,Jane Smith,A004,ABC Inc,5183.5
2023-06-01,A001,Charlie Davis,A005,123 Services,5040.24
2023-09-17,A002,John Doe,A001,XYZ Corp,8569.85
2023-03-24,A005,Alice Johnson,A001,XYZ Corp,8610.13
2023-09-22,A005,Bob Brown,A003,123 Services,1789.16
2023-03-11,A005,Alice Johnson,A005,XYZ Corp,7097.88
2023-06-19,A005,Charlie Davis,A004,123 Services,3572.64
2023-06-03,A005,Jane Smith,A005,ABC Inc,6775.4
2023-07-05,A002,Bob Brown,A001,123 Services,5553.36
2023-02-19,A002,Jane Smith,A002,Tech Solutions,4097.45
2023-03-25,A003,John Doe,A003,XYZ Corp,5347.95
2023-06-20,A004,Bob Brown,A001,Global Traders,8338.94
2023-02-05,A002,John Doe,A004,ABC Inc,6232.29
2023-02-15,A002,Bob Brown,A005,Global Traders,8588.87
2023-05-02,A001,Charlie Davis,A004,XYZ Corp,8317.14
2023-03-16,A004,Bob Brown,A004,Tech Solutions,6660.58
2023-07-28,A001,Alice Johnson,A004,Tech Solutions,9249.14
2023-10-16,A005,Charlie Davis,A004,123 Services,6067.77
2023-08-01,A003,John Doe,A004,XYZ Corp,9327.15
2023-04-08,A001,Bob Brown,A004,Global Traders,7005.45
2023-04-29,A005,John Doe,A005,XYZ Corp,6703.42
2023-08-02,A002,Jane Smith,A003,Global Traders,3731.64
2023-08-20,A003,Alice Johnson,A002,123 Services,6664.53
2023-02-13,A001,Charlie Davis,A003,123 Services,3659.18
2023-04-13,A004,Bob Brown,A002,XYZ Corp,2996.35
2023-08-30,A003,Jane Smith,A003,123 Services,8713.14
2023-02-12,A005,Charlie Davis,A003,Global Traders,820.7
2023-05-07,A004,Alice Johnson,A003,123 Services,3026.69
2023-01-31,A001,Alice Johnson,A001,123 Services,8836.86
2023-03-02,A002,Jane Smith,A001,XYZ Corp,7118.77
2023-12-24,A002,Bob Brown,A001,123 Services,3740.16
2023-08-04,A001,Jane Smith,A003,Tech Solutions,4440.89
2023-12-10,A005,Jane Smith,A001,ABC Inc,8522.98
2023-07-28,A002,Bob Brown,A001,Global Traders,8327.59
2023-11-12,A002,Alice Johnson,A005,Tech Solutions,3633.39
2023-02-14,A004,John Doe,A004,ABC Inc,3679.84
2023-03-17,A004,John Doe,A003,XYZ Corp,6567.7
2023-04-30,A002,Alice Johnson,A003,XYZ Corp,8193.4
2023-02-22,A004,Jane Smith,A004,Global Traders,1766.25
2023-12-31,A002,Bob Brown,A001,123 Services,4053.13
2023-08-24,A003,Jane Smith,A004,ABC Inc,5183.43
2023-02-08,A002,Charlie Davis,A002,Global Traders,6474.45
2023-09-04,A003,Charlie Davis,A001,Tech Solutions,5658.57
2023-10-01,A004,John Doe,A002,123 Services,5668.85
2023-03-18,A002,Charlie Davis,A003,XYZ Corp,7910.89
2023-05-07,A004,John Doe,A003,Tech Solutions,9337.63
2023-11-23,A002,John Doe,A004,XYZ Corp,849.26
2023-03-25,A004,Jane Smith,A004,Tech Solutions,9457.0
2023-12-31,A004,Charlie Davis,A004,123 Services,1167.27
2023-07-11,A002,Alice Johnson,A004,Tech Solutions,7434.52
2023-04-24,A001,John Doe,A002,XYZ Corp,5355.73
2023-01-30,A005,Charlie Davis,A002,123 Services,6992.53
2023-04-29,A002,Alice Johnson,A005,123 Services,7385.38
2023-04-15,A003,Bob Brown,A005,123 Services,340.35
2023-01-20,A003,Bob Brown,A001,Tech Solutions,2670.06
2023-08-24,A004,John Doe,A004,XYZ Corp,5276.93
2023-11-30,A001,Bob Brown,A001,Global Traders,7835.94
2023-06-10,A003,Charlie Davis,A005,Tech Solutions,1532.07
2023-01-18,A001,Bob Brown,A001,Global Traders,5504.6
2023-07-15,A003,Bob Brown,A002,Global Traders,7150.49
2023-02-08,A002,Jane Smith,A002,ABC Inc,9358.49
2023-05-15,A004,Bob Brown,A003,Global Traders,1329.88
2023-05-19,A002,John Doe,A004,ABC Inc,2789.85
2023-11-28,A001,Alice Johnson,A005,123 Services,6967.56
2023-04-24,A004,Bob Brown,A003,ABC Inc,5197.34
2023-09-08,A004,Alice Johnson,A003,Tech Solutions,4848.52
2023-01-26,A001,Charlie Davis,A002,123 Services,8663.64
2023-03-23,A005,Jane Smith,A005,ABC Inc,4626.65
2023-06-10,A002,Alice Johnson,A002,XYZ Corp,3403.17
2023-02-01,A003,John Doe,A001,ABC Inc,8987.24
2023-05-23,A002,John Doe,A001,123 Services,5749.07
2023-10-27,A001,Jane Smith,A001,ABC Inc,3867.49
2023-10-27,A003,Charlie Davis,A002,ABC Inc,2790.66
2023-10-29,A003,Alice Johnson,A001,Global Traders,2563.99
2023-12-21,A004,Bob Brown,A004,Global Traders,5463.81
2023-10-11,A001,Bob Brown,A001,XYZ Corp,2055.92
2023-09-21,A001,Charlie Davis,A001,Global Traders,6823.62
2023-01-18,A005,Bob Brown,A005,Global Traders,5718.86
2023-11-29,A002,Charlie Davis,A004,123 Services,7619.49
2023-10-30,A004,Jane Smith,A004,Global Traders,2899.37
2023-02-01,A002,Jane Smith,A001,Tech Solutions,9080.38
2023-01-29,A005,Bob Brown,A003,Global Traders,3645.32
2023-11-23,A001,John Doe,A002,Tech Solutions,3852.79
2023-09-27,A003,Charlie Davis,A004,123 Services,740.83
2023-12-30,A002,Charlie Davis,A002,ABC Inc,1474.7
2023-07-09,A003,John Doe,A005,XYZ Corp,6256.39
2023-12-13,A002,John Doe,A002,Global Traders,5778.09
2023-12-14,A001,John Doe,A004,XYZ Corp,3631.19
2023-04-23,A002,Charlie Davis,A005,ABC Inc,745.57
2023-12-06,A005,John Doe,A002,123 Services,2690.09
2023-01-02,A005,Charlie Davis,A003,XYZ Corp,4105.46
2023-09-27,A003,Jane Smith,A005,123 Services,5506.85
2023-01-19,A001,Bob Brown,A005,123 Services,4126.11
2023-09-09,A003,Charlie Davis,A002,Tech Solutions,6808.73
2023-10-09,A004,Alice Johnson,A001,ABC Inc,5261.25
2023-03-29,A001,Bob Brown,A003,Global Traders,7562.61
2023-06-20,A005,Jane Smith,A005,Tech Solutions,7792.52
2023-07-27,A001,Charlie Davis,A003,Global Traders,4751.9
2023-01-03,A004,John Doe,A002,123 Services,9840.45
2023-12-10,A005,John Doe,A001,XYZ Corp,8129.28
2023-01-14,A003,Jane Smith,A003,Global Traders,7055.53
2023-10-25,A005,Alice Johnson,A001,Tech Solutions,157.85
2023-02-09,A002,Charlie Davis,A004,ABC Inc,1772.67
2023-03-03,A004,Jane Smith,A003,Tech Solutions,6672.37
2023-01-08,A005,Bob Brown,A004,ABC Inc,4151.48
2023-06-01,A002,Charlie Davis,A005,ABC Inc,1138.97
2023-12-01,A003,Alice Johnson,A004,Tech Solutions,3511.36
2023-04-21,A004,John Doe,A005,Tech Solutions,5322.92
2023-04-11,A001,Jane Smith,A005,ABC Inc,5840.47
2023-10-31,A003,Charlie Davis,A005,Global Traders,5703.68
2023-11-17,A004,Jane Smith,A003,XYZ Corp,1800.14
2023-07-22,A005,Charlie Davis,A005,123 Services,1965.4
2023-04-06,A002,John Doe,A005,Global Traders,9924.45
2023-06-18,A005,Alice Johnson,A004,123 Services,2987.59
2023-01-12,A004,Bob Brown,A004,Global Traders,4090.92
2023-03-17,A001,Jane Smith,A005,123 Services,3018.27
2023-05-03,A004,Jane Smith,A001,ABC Inc,3154.4
2023-01-16,A002,Jane Smith,A005,ABC Inc,2551.06
2023-03-05,A005,Charlie Davis,A004,123 Services,3790.89
2023-11-30,A002,John Doe,A003,ABC Inc,9840.46
2023-09-02,A001,Jane Smith,A004,Tech Solutions,1875.75
2023-05-03,A005,John Doe,A005,Global Traders,2246.4
2023-07-28,A002,Alice Johnson,A003,Tech Solutions,3273.66
2023-04-05,A001,John Doe,A005,123 Services,3380.44
2023-11-07,A003,John Doe,A004,ABC Inc,7595.11
2023-08-11,A002,Alice Johnson,A001,ABC Inc,6827.06
2023-01-16,A004,Bob Brown,A003,Global Traders,275.94
2023-12-14,A005,John Doe,A005,XYZ Corp,5128.12
2023-11-04,A002,Alice Johnson,A005,XYZ Corp,4992.68
2023-08-08,A003,Alice Johnson,A004,Tech Solutions,7261.67
2023-05-04,A004,Jane Smith,A001,ABC Inc,9405.1
2023-03-18,A002,Bob Brown,A005,XYZ Corp,9012.04
2023-12-13,A003,Bob Brown,A004,XYZ Corp,7962.65
2023-08-10,A005,Bob Brown,A001,ABC Inc,608.49
2023-08-22,A003,Bob Brown,A005,XYZ Corp,5564.62
2023-09-29,A004,John Doe,A004,XYZ Corp,1315.11
2023-04-20,A004,Jane Smith,A003,Global Traders,379.91
2023-12-10,A002,Charlie Davis,A001,Global Traders,7428.0
2023-05-18,A004,Charlie Davis,A003,123 Services,425.55
2023-04-27,A004,Alice Johnson,A004,Tech Solutions,2075.25
2023-05-18,A004,Charlie Davis,A005,123 Services,1414.27
2023-03-05,A003,John Doe,A003,123 Services,1052.62
2023-12-02,A002,Bob Brown,A004,Global Traders,4818.13
2023-03-09,A004,Charlie Davis,A003,Tech Solutions,6677.69
2023-08-25,A003,Bob Brown,A004,Global Traders,375.34
2023-10-28,A001,Charlie Davis,A002,123 Services,7461.71
2023-11-22,A003,Charlie Davis,A002,123 Services,972.2
2023-07-06,A003,Alice Johnson,A002,Tech Solutions,4381.9
2023-04-05,A003,John Doe,A002,123 Services,1223.02
2023-08-31,A004,Charlie Davis,A003,Tech Solutions,6117.55
2023-06-23,A003,Alice Johnson,A005,Tech Solutions,8619.78
2023-02-04,A005,Alice Johnson,A003,Global Traders,998.32
2023-02-23,A005,Jane Smith,A004,XYZ Corp,1701.89
2023-01-18,A004,Alice Johnson,A001,Tech Solutions,509.59
2023-01-13,A003,Charlie Davis,A001,123 Services,5283.72
2023-12-03,A005,John Doe,A004,XYZ Corp,4762.53
2023-06-05,A003,Jane Smith,A003,XYZ Corp,3815.96
2023-01-22,A001,Bob Brown,A001,Global Traders,2124.72
2023-07-10,A003,Bob Brown,A003,ABC Inc,7997.23
2023-02-04,A004,Alice Johnson,A005,123 Services,5110.42
2023-06-28,A004,Alice Johnson,A003,ABC Inc,6560.94
2023-03-11,A001,John Doe,A003,Tech Solutions,8761.44
2023-05-17,A004,Bob Brown,A001,123 Services,1682.29
2023-03-25,A004,Alice Johnson,A002,Tech Solutions,4560.72
2023-01-13,A001,Jane Smith,A003,Tech Solutions,6757.6
2023-04-05,A005,Alice Johnson,A004,Tech Solutions,5347.7
2023-11-17,A005,John Doe,A004,Global Traders,6543.23
2023-10-28,A004,Charlie Davis,A003,123 Services,5482.29
2023-08-23,A004,Bob Brown,A005,Global Traders,7108.57
2023-11-06,A005,John Doe,A005,123 Services,6113.76
2023-06-19,A004,Jane Smith,A004,123 Services,6619.67
2023-08-01,A005,John Doe,A003,XYZ Corp,7014.58
2023-05-28,A001,John Doe,A005,XYZ Corp,8034.98
2023-06-13,A003,Alice Johnson,A005,123 Services,1860.44
2023-10-23,A002,Charlie Davis,A002,123 Services,696.14
2023-08-28,A005,Jane Smith,A002,ABC Inc,653.16
2023-08-29,A004,Charlie Davis,A003,123 Services,1954.34
2023-01-23,A004,Bob Brown,A004,ABC Inc,2241.2
2023-02-21,A003,John Doe,A003,Global Traders,7776.32
2023-12-28,A001,Charlie Davis,A005,123 Services,6737.32
2023-09-01,A002,John Doe,A004,Tech Solutions,5704.18
2023-12-13,A005,Bob Brown,A005,XYZ Corp,260.85
2023-08-20,A002,Alice Johnson,A001,Tech Solutions,8115.04
2023-01-24,A005,Charlie Davis,A002,Tech Solutions,338.61
2023-08-12,A001,Alice Johnson,A001,Tech Solutions,7229.27
2023-12-14,A004,John Doe,A002,XYZ Corp,7696.98
2023-06-11,A004,Alice Johnson,A004,Global Traders,6361.78
2023-01-21,A001,John Doe,A001,XYZ Corp,4984.52
2023-06-04,A004,Alice Johnson,A004,Tech Solutions,7918.34
2023-12-03,A001,Jane Smith,A002,Tech Solutions,8398.48
2023-09-18,A004,John Doe,A005,XYZ Corp,7944.09
2023-04-24,A004,Jane Smith,A003,Tech Solutions,6103.8
2023-04-06,A003,Alice Johnson,A002,123 Services,6746.27
2023-12-01,A003,Jane Smith,A004,Global Traders,9914.6
2023-07-19,A002,Jane Smith,A004,ABC Inc,3933.39
2023-06-07,A004,Charlie Davis,A001,Global Traders,1571.73
2023-07-15,A001,Alice Johnson,A005,Tech Solutions,1373.44
2023-07-05,A004,Jane Smith,A001,Tech Solutions,4448.84
2023-07-16,A002,Charlie Davis,A004,XYZ Corp,1371.29
2023-04-16,A001,Charlie Davis,A003,Global Traders,9346.95
2023-08-20,A004,Jane Smith,A001,XYZ Corp,9181.14
2023-07-04,A005,Bob Brown,A005,Tech Solutions,4185.86
2023-08-23,A002,John Doe,A005,XYZ Corp,5882.68
2023-05-02,A004,John Doe,A004,XYZ Corp,8254.2
2023-10-08,A001,Charlie Davis,A001,Global Traders,6665.79
2023-07-22,A004,Charlie Davis,A004,XYZ Corp,1579.63
2023-06-30,A003,Alice Johnson,A003,ABC Inc,3643.46
2023-10-22,A002,Jane Smith,A002,123 Services,4302.93
2023-05-03,A002,Alice Johnson,A002,Tech Solutions,620.51
2023-09-07,A005,Charlie Davis,A002,123 Services,2694.68
2023-08-17,A005,Charlie Davis,A004,ABC Inc,5246.81
2023-10-07,A004,John Doe,A003,ABC Inc,6486.6
2023-01-23,A001,Jane Smith,A003,ABC Inc,340.28
2023-03-23,A002,Bob Brown,A001,Global Traders,1366.6
2023-03-30,A002,Jane Smith,A001,ABC Inc,1565.5
2023-08-25,A002,Bob Brown,A002,Global Traders,524.87
2023-01-14,A001,John Doe,A001,XYZ Corp,9214.74
2023-01-28,A004,John Doe,A004,Tech Solutions,3939.16
2023-11-25,A004,Charlie Davis,A004,Global Traders,7040.8
2023-12-30,A003,John Doe,A001,XYZ Corp,7456.82
2023-08-04,A005,Alice Johnson,A005,ABC Inc,5722.86
2023-04-03,A001,Alice Johnson,A001,ABC Inc,4651.49
2023-03-06,A004,Bob Brown,A004,XYZ Corp,4659.72
2023-03-15,A004,Charlie Davis,A004,Tech Solutions,8696.58
2023-09-06,A001,Charlie Davis,A002,123 Services,4818.53
2023-05-11,A003,John Doe,A003,Tech Solutions,4838.7
2023-03-10,A005,Bob Brown,A005,Global Traders,2044.54
2023-02-15,A001,Alice Johnson,A004,ABC Inc,9390.54
2023-11-14,A005,Jane Smith,A003,Tech Solutions,5639.59
2023-11-17,A003,John Doe,A005,123 Services,1617.64
2023-03-30,A002,Jane Smith,A002,ABC Inc,2997.98
2023-03-19,A005,John Doe,A004,XYZ Corp,1244.31
2023-02-21,A001,John Doe,A004,XYZ Corp,7047.2
2023-02-22,A002,Charlie Davis,A001,ABC Inc,6809.07
2023-01-30,A005,Alice Johnson,A005,Tech Solutions,1935.37
2023-01-09,A001,Bob Brown,A002,Tech Solutions,2081.1
2023-01-02,A003,Jane Smith,A004,ABC Inc,6780.33
2023-05-04,A004,Alice Johnson,A004,XYZ Corp,4640.33
2023-07-13,A002,Charlie Davis,A004,Tech Solutions,5325.55
2023-12-24,A003,Alice Johnson,A003,Tech Solutions,7097.5
2023-12-14,A004,Charlie Davis,A004,Global Traders,7594.52
2023-03-01,A005,Bob Brown,A003,123 Services,7051.25
2023-02-14,A001,John Doe,A001,123 Services,849.01
2023-08-02,A003,Jane Smith,A001,123 Services,7048.35
2023-03-06,A001,Alice Johnson,A001,Tech Solutions,2994.8
2023-08-14,A003,Charlie Davis,A005,Global Traders,3577.78
2023-11-16,A004,John Doe,A005,XYZ Corp,8029.98
2023-09-27,A004,John Doe,A002,123 Services,1937.69
2023-12-26,A002,John Doe,A001,XYZ Corp,748.63
2023-09-29,A001,Bob Brown,A001,Tech Solutions,3563.9
2023-01-25,A005,Jane Smith,A001,ABC Inc,2535.61
2023-10-10,A001,Jane Smith,A004,ABC Inc,1005.01
2023-07-29,A002,John Doe,A001,XYZ Corp,8136.09
2023-11-19,A004,Alice Johnson,A002,123 Services,1921.8
2023-01-22,A004,John Doe,A003,Tech Solutions,6748.92
2023-06-06,A003,Bob Brown,A004,Global Traders,9169.97
2023-08-16,A003,Charlie Davis,A003,123 Services,3897.98
2023-03-04,A004,Bob Brown,A002,Global Traders,8893.08
2023-06-09,A003,Alice Johnson,A003,123 Services,7689.82
2023-11-28,A004,Alice Johnson,A004,Tech Solutions,8125.81
2023-11-07,A001,Alice Johnson,A002,Tech Solutions,2956.19
2023-10-29,A005,Jane Smith,A002,ABC Inc,4826.6
2023-12-17,A001,Jane Smith,A001,ABC Inc,6470.28
2023-01-28,A005,Alice Johnson,A003,Tech Solutions,8551.48
2023-01-29,A001,Bob Brown,A004,123 Services,4229.79
2023-05-10,A001,Bob Brown,A004,Global Traders,6208.52
2023-07-20,A002,John Doe,A001,Global Traders,6219.49
2023-08-27,A003,John Doe,A004,ABC Inc,3728.64
2023-04-24,A003,Alice Johnson,A003,ABC Inc,9189.92
2023-09-07,A003,Alice Johnson,A002,Global Traders,992.3
2023-04-26,A005,Jane Smith,A003,ABC Inc,8386.91
2023-11-03,A002,Charlie Davis,A004,XYZ Corp,8246.1
2023-08-08,A004,Charlie Davis,A004,123 Services,2168.78
2023-02-08,A003,Alice Johnson,A004,123 Services,6665.67
2023-05-18,A002,Bob Brown,A002,XYZ Corp,3289.82
2023-12-04,A004,Jane Smith,A004,ABC Inc,1908.54
2023-05-07,A005,Jane Smith,A005,XYZ Corp,134.42
2023-12-06,A005,John Doe,A001,Tech Solutions,8542.7
